TO_KISTI
1462151489
time,tx_packets
0.001,16
0.101,16
0.201,16
0.301,16
0.401,16
0.502,16
0.602,16
0.702,16
0.802,16
0.902,16
1.003,16
1.103,16
1.203,16
1.303,16
1.403,16
1.504,16
1.604,16
1.704,16
1.804,16
1.904,16
2.005,16
2.105,16
2.205,16
2.305,16
2.405,16
2.506,16
2.606,16
2.706,16
2.806,16
2.906,16
3.007,16
3.107,16
3.207,16
3.307,16
3.407,16
3.508,16
3.608,16
3.708,16
3.808,16
3.908,16
4.009,16
4.109,16
4.209,16
4.309,16
4.409,16
4.510,16
4.610,16
4.710,16
4.810,16
4.911,16
5.011,16
5.111,16
5.211,16
5.311,16
5.412,16
5.512,16
5.612,16
5.712,16
5.812,16
5.913,16
6.013,16
6.113,16
6.213,16
6.313,16
6.414,16
6.514,16
6.614,16
6.714,16
6.814,16
6.915,16
7.015,16
7.115,16
7.215,16
7.315,16
7.416,16
7.516,16
7.616,16
7.716,16
7.816,16
7.917,16
8.017,16
8.117,16
8.217,16
8.317,16
8.418,16
8.518,16
8.618,16
8.718,16
8.818,16
8.919,16
9.019,16
9.119,16
9.219,16
9.319,16
9.420,16
9.520,16
9.620,16
9.720,16
9.821,16
9.921,16
10.021,16
10.121,16
10.221,16
10.322,16
10.422,16
10.522,16
10.622,16
10.722,16
10.823,16
10.923,16
11.023,16
11.123,16
11.223,16
11.324,16
11.424,16
11.524,16
11.624,16
11.724,16
11.825,16
11.925,16
12.025,16
12.125,16
12.225,16
12.326,16
12.426,16
12.526,16
12.626,16
12.726,16
12.827,16
12.927,16
13.027,16
13.127,16
13.228,16
13.328,16
13.428,16
13.528,16
13.628,16
13.729,16
13.829,16
13.929,16
14.029,16
14.129,16
14.230,16
14.330,16
14.430,16
14.530,16
14.631,16
14.731,16
14.831,16
14.931,16
15.031,16
15.132,16
15.232,16
15.332,16
15.432,16
15.532,16
15.633,16
15.733,16
15.833,16
15.933,16
16.033,16
16.134,16
16.234,16
16.334,16
16.434,16
16.534,16
16.635,16
16.735,16
16.835,16
16.935,16
17.035,16
17.136,16
17.236,16
17.336,16
17.436,16
17.536,16
17.637,16
17.737,16
17.837,16
17.937,16
18.037,16
18.138,16
18.238,16
18.338,16
18.438,16
18.539,16
18.639,16
18.739,16
18.839,16
18.939,16
19.040,16
19.140,16
19.240,16
19.340,16
19.440,16
19.541,16
19.641,16
19.741,16
19.841,16
19.941,16
20.042,16
20.142,16
20.242,16
20.342,16
20.442,16
20.543,16
20.643,16
20.743,16
20.843,16
20.943,16
21.044,16
21.144,16
21.244,16
21.344,16
21.444,16
21.545,16
21.645,16
21.745,16
21.845,16
21.946,16
22.046,16
22.146,16
22.246,16
22.346,16
22.447,16
22.547,16
22.647,16
22.747,16
22.847,16
22.948,16
23.048,16
23.148,16
23.248,16
23.348,16
23.449,16
23.549,16
23.649,16
23.749,16
23.849,16
23.950,16
24.050,16
24.150,16
24.250,16
24.350,16
24.451,16
24.551,16
24.651,16
24.751,16
24.851,16
24.952,16
25.052,16
25.152,16
25.252,16
25.353,16
25.453,16
25.553,16
25.653,16
25.753,16
25.854,16
25.954,16
26.054,16
26.154,16
26.254,16
26.355,16
26.455,16
26.555,16
26.655,16
26.755,16
26.856,16
26.956,16
27.056,16
27.156,16
27.256,16
27.357,16
27.457,16
27.557,16
27.657,16
27.757,16
27.858,16
27.958,16
28.058,16
28.158,16
28.259,16
28.359,16
28.459,16
28.559,16
28.659,16
28.760,16
28.860,16
28.960,16
29.060,16
29.160,16
29.261,16
29.361,16
29.461,16
29.561,16
29.661,16
29.762,16
29.862,16
29.962,16
30.062,16
30.162,16
30.263,16
30.363,16
30.463,16
30.563,16
30.663,16
30.764,16
30.864,16
30.964,16
31.064,16
31.164,16
31.265,16
31.365,16
31.465,16
31.565,16
31.665,16
31.766,16
31.866,16
31.966,16
32.066,16
32.166,16
32.267,16
32.367,16
32.467,16
32.567,16
32.667,16
32.768,16
32.868,16
32.968,16
33.068,16
33.168,16
33.269,16
33.369,16
33.469,16
33.569,16
33.669,16
33.770,16
33.870,16
33.970,16
34.070,16
34.171,16
34.271,16
34.371,16
34.471,16
34.571,16
34.672,16
34.772,16
34.872,16
34.972,16
35.072,16
35.173,16
35.273,16
35.373,16
35.473,16
35.573,16
35.674,16
35.774,16
35.874,16
35.974,16
36.074,16
36.175,16
36.275,16
36.375,16
36.475,16
36.575,16
36.676,16
36.776,16
36.876,16
36.976,16
37.076,16
37.177,16
37.277,16
37.377,16
37.477,16
37.577,16
37.678,16
37.778,16
37.878,16
37.978,16
38.078,16
38.178,16
38.278,16
38.379,16
